judul_translate,narasi_translate,label
Pemakaian Masker Menyebabkan Penyakit Legionnaires,Seorang penelepon ke talk show radio baru-baru ini bersama istrinya dirawat di rumah sakit n mengatakan dia COVID n hanya beberapa hari tersisa untuk hidup. Seorang teman dokter menyarankan dia diuji untuk penyakit legiuner karena dia mengenakan topeng yang sama setiap hari sepanjang hari. Ternyata itu adalah penyakit legiuner dari kelembaban n bakteri di topengnya. Dia diberi antibiotik n dalam waktu dua hari lebih baik. BAGAIMANA JIKA ini ‘paku’ di COVID benar-benar sesuatu yang lain karena ‘topeng infeksi yang disebabkan’. ?? 🤔🤔🤔,1
Instruksi Gubernur Jateng TENTANG penilangan Bagi yg TIDAK bermasker di Muka Umum Rp.150.000 using e-Tilang Via apps PIKOBAR,Yth.Seluruh Anggota Anggota Grup Sesuai Instruksi Gubernur Jawa Tengah Hasil Rapat Tim Gugus Tugas Covid 19 Jateng sbb:,1
Foto Jim Rohn: Jokowi Adalah Presiden Terbaik dlm Sejarah bangsa Indonesia,"Jokowi Adalah Presiden Terbaik dlm Sejarah bangsa Indonesia. Jim Rohn, motivator Terbaik Dunia",1
"INI BUKAN POLITIK, TAPI KENYATAAN Pak Jokowi Berhasil Memulangkan 11.000 Triliun Uang Negara Dari Swiss.","Maaf Mas2 Dan Mbak2, Penyanyi Bukan politik, TAPI Kenyataan Pak Jokowi BERHASIL memulangkan 11.000 Triliun Uang gatra Dari Swiss. 11ribu Triliun Siap di bawa balik Ke Indonesia.RUU Perjanjian Bantuan Hukum Timbal Balik dalam Masalah Pidana antara Republik Indonesia dan The Konfederasi Swiss (MLA RI-Swiss) Resmi disahkan DPR RI Tanggal 3 juli 2020. Mencari Google Artikel demikian Proses Konstitusi menarik dana di Swiss Sudah Selesai. Perjuangan Yang Panjang Menghadapi mantan koruptor Yang bersenggama DENGAN agama. para Terimakasih kadrun Yang Terus nyinyirian Kapan Uang 11.000 triliun Kembali ke Indonesia. Tanpa Andari nyinyir, Rasanya Sulit RUU ITU can disahkan Oleh DPR. Pemilik 84 Rekening gendut Siap Siap gigit jari. Mungkin Tekanan Ke Pak Jokowi makin Kencang. Suami baca beritanya",1
Foto Kadrun kalo lihat foto Penyanyi Panas Dingin,Kadrun kalo lihat foto Penyanyi Panas Dingin. .,1
acara promo JNE smartphone 2020 spesial di bulan juni,"selamat siang Teman Teman fb ku semuanya🤩, cuman mau Memberi Informasi dan rezeky gak kemana ya😊, Kemarin Saya mengikuti smartphone acara promo JNE 2020 spesial di bulan juni Penyanyi Dan Saya MESAN smartphone VIVO V15 PRO cuman seharga Rp.900.000-, gak nyangka cuma seharga Rp.900.000 Aku Bisa mendapat hp VIVO V15 PRO 😍, Bagi Teman Teman fb ku yg penasaran ATAU mau ikutan INBOX AJA WA adminnya 0823-7142-9 ***",1
MEREKA SUDAH MEMPERSIAPKAN DIRI DENGAN BAIK UNTUK Menguasai Negri INI!,LIHATLAH MEREKA SUDAH MEMPERSIAPKAN DIRI DENGAN BAIK UNTUK Menguasai Negri INI!,1
Foto Presiden Italia Menangis KARENA Tak Cukup Lahan untuk review mengubur 700an Korban corona per hari,Italia Punya telah dipakai Perawatan kesehatan tercanggih TAPI Semuanya Gagal mengendalikan corona KARENA awalnya ITU Hanya dianggap sekadar Lelucon Dan Sekarang Presiden mereka Menangis KARENA Tak Cukup Lahan untuk review mengubur 700an Korban corona per hari (mungkin hari Penyanyi Sudah Lebih Dari 700).,1
"Kapolres Timor Tengah Utara, Nusa Tenggara Timur Beri Klarifikasi Terkait Video Polisi Diamkan Korban Kecelakaan",Polisi goblok. Bukanya CPET”d tolongin Malah d liati aja,1
Video Polisi Cina Telah menganiaya wanita Uighur lehernya di Cekik pake kesemek,"Polisi Cina Telah menganiaya wanita Uighur lehernya di Cekik pake kesemek, Melek tu yg Bilang TIDAK ADA penganiayaan Dan Ham diam seribu bahasa ... SeolAh”Polisi ITU Berkata liat Nanti giliran Andari sama orangutan di Sekitarnya biadab",1
